DISTRITO,BARRIO,TIPO_VIVIENDA,VARIACION_PCT,PRECIO_EUR_M2,TRANSACCIONES,RENTA_NETA_PERSONA,RENTA_NETA_HOGAR,VIVIENDAS_TURISTICAS_REAL,VIVIENDAS_TURISTICAS_ACU,PRECIO_EUR_AVG (en €/día),PRECIO_EUR_AVG_ACU (en €/día),PARADAS_METRO,PARADAS_EMT,PERIODO_INICIO_METRO,EDAD_ MEDIA,RESIDENTES_TOTAL,RESIDENTES_ESPANOLES,RESIDENTES_EXTRANJEROS,DENSIDAD_POBLACION,RESIDENTES_MAYORES_65,ZONAS_VERDES_POR_RESIDENTE,TAMAÑO_MEDIO_HOGAR,TASA_PARO,TASA_NATALIDAD,TASA_CRECIMIENTO_DEMOGRAFICO,VIVIENDA_OCUPADA,PERCEPCION_SEGURIDAD,PERCEPCION_CALIDAD_VIDA,INDICE_VULNERABILIDAD,INDICE_SEGURIDAD,INDICE_INFRAESTRUCTURA,PARADAS_TOTAL,TIENE_METRO,TIENE_EMT,PRECIO_TURISMO_REL,DENSIDAD_PARADAS,RENTA_X_PERSONA_HOGAR,RENTAxINFRA,PRECIO_TURISMOxMETRO
01. Centro,011. Palacio,NUEVA,137.99960230662157,4990.153333333334,188.24166666666667,18638.2,37410.8,137.48333333333332,1113.7166666666667,168.01666666666668,188.75,4.0,42.333333333333336,1993.0,44.19816666666667,21639.483333333334,16738.833333333332,5171.35,236.25995004,14.425833333333333,995542572.5833334,2.0027170874666664,6.333333333333333,6.0151666666666666,0.8303333333333334,10879.783333333333,7.858475894245724,7.070020120724345,3.500951042011247,4.026825124596611,1.0645397926093982,46.333333333333336,1.0,1.0,5.600555555555556,0.0023282379740226017,18687.180820405003,39867.95177292468,22.415000000000003
02. Arganzuela,021. Imperial,NUEVA,111.58165168027183,3873.976428571428,95.27857142857142,19509.0,45700.3,15.928571428571429,122.61428571428571,106.34285714285714,110.0,1.1428571428571428,33.42857142857143,1138.857142857143,45.13757142857143,22329.742857142857,20231.7,2531.5714285714284,261.44214285714287,16.03442857142857,1208449926.5285714,2.381071851557143,6.140714285714286,8.041285714285713,0.20600000000000004,9512.514285714286,8.090824261275271,7.759959758551307,1.9469330371910587,1.360547243438208,1.383283700092124,34.57142857142857,0.5714285714285714,1.0,3.544761904761905,0.00274244480401325,19241.286965090116,63400.20033094074,3.8033333333333337
03. Retiro,031. Pacífico,NUEVA,162.33489903247823,4704.863333333333,108.83333333333333,23583.1,57265.9,13.3,99.71666666666667,136.65,142.51666666666668,1.8333333333333333,30.5,1660.8333333333333,47.275666666666666,19963.716666666667,17989.533333333333,1460.55,270.67400000000004,23.278833333333335,1151042124.7833333,2.4639628767999997,4.9478333333333335,6.9896666666666665,-0.10466666666666667,8247.85,8.792068429237949,8.569416498993963,2.6128101223949716,1.1149636655435817,1.1687277096478361,32.333333333333336,0.8333333333333334,1.0,4.555000000000001,0.0020148794893554848,23296.00526441108,66974.64765970512,7.151666666666666
04. Salamanca,041. Recoletos,NUEVA,6.830969720199313,6097.629166666667,167.675,26321.4,61249.8,25.283333333333335,174.66666666666666,166.03333333333333,178.13333333333333,3.5,30.0,1993.0,46.19349999999999,22311.9,19380.633333333335,3479.9,266.6616666666667,21.490000000000002,481838827.9,2.3037085949000002,4.419166666666667,7.9675,-0.068,9918.233333333334,9.253965785381025,8.783098591549296,2.7548709890836913,1.4039401249913581,1.0894953457277416,33.5,1.0,1.0,5.5344444444444445,0.0016317457610783058,26604.257875575175,66720.9806399999,19.255555555555553
05. Chamartín,051. El Viso,NUEVA,68.29748607649465,4901.5275,132.04166666666666,28267.3,70323.8,12.583333333333334,86.26666666666667,136.33333333333334,136.23333333333332,3.6666666666666665,61.666666666666664,1993.0,45.44266666666667,22606.266666666666,20513.016666666666,2416.266666666667,170.72166666666666,20.6215,1100093689.0333333,2.5342684989333333,4.609666666666667,9.29,-0.24466666666666667,9228.116666666667,9.07900466562986,8.754124748490943,1.8351223949718822,1.263735281765062,1.1685500197173602,65.33333333333333,1.0,1.0,4.544444444444445,0.00319395497166656,27842.86957094239,82163.21423542291,16.018333333333334
06. Tetuán,061. Bellas Vistas,NUEVA,78.921568627451,3441.9725000000003,174.95,16612.6,39368.6,24.116666666666667,145.76666666666668,151.85,123.25,2.8333333333333335,29.333333333333332,1660.8333333333333,43.93966666666667,26144.883333333335,20450.7,5644.816666666667,305.99297802,16.805666666666664,1050848727.5333333,2.3893087081999997,7.040666666666667,8.389999999999999,-0.4563333333333333,10922.883333333333,6.525972006220839,6.050503018108651,2.9169037380086005,1.2264738941409563,1.105787703488405,32.166666666666664,0.8333333333333334,1.0,5.0616666666666665,0.0012125311503717966,16504.098640027205,43525.37711838038,12.30722222222222
07. Chamberí,071. Gaztambide,NUEVA,74.8307493918701,5407.4325,150.69166666666666,25001.5,55993.7,23.9,170.88333333333333,127.25,127.1,3.5,10.333333333333334,1660.8333333333333,46.28366666666667,22706.8,20350.116666666665,2960.65,336.8616612866666,21.765666666666668,1157455692.4,2.22632297495,4.679833333333334,7.775,-0.41350000000000003,10644.183333333332,9.266562986003107,8.51146881287726,3.0326972378432018,1.2377516184789432,1.1574556924102126,13.833333333333334,0.8333333333333334,0.8333333333333334,4.241666666666666,0.0006074465957865642,25186.50797498962,64741.113817518315,15.66
08. Fuencarral-El Pardo,081. El Pardo,NUEVA,136.52032002547466,3652.729375,135.74375,20387.7,54643.6,3.8125,25.625,78.8625,79.9375,2.625,64.375,1497.125,45.002875,32440.8625,30016.1,2307.0,80.85210580985,18.903624999999998,1434805156.225,2.7541088215375,5.174375,8.32825,0.069625,11708.125,8.457542768273717,8.020724346076458,1.9141415812107176,1.2277127026379604,1.4990913609965753,67.0,0.75,1.0,2.62875,0.0022906835025386933,19941.502266630567,82444.03244374637,5.195833333333334
09. Moncloa-Aravaca,091. Casa de Campo,NUEVA,84.30569393704565,3905.582857142857,87.93571428571428,24683.7,63619.8,9.17142857142857,64.54285714285714,103.95714285714286,99.4,1.4285714285714286,27.142857142857142,1138.857142857143,45.240428571428566,16646.885714285716,14993.242857142857,1779.1,56.10440286392857,18.076142857142855,1260221629.642857,2.6979783164,4.486714285714285,7.610857142857142,0.362,6422.0,8.852255054432348,8.754124748490943,2.3656089031709278,1.4690046810999782,1.3015294798285912,28.571428571428573,0.5714285714285714,0.8571428571428571,3.465238095238095,0.001956526328180072,23886.17075495676,82970.102797127,6.900952380952381
10. Latina,101. Los Cármenes,NUEVA,63.32574031890659,2249.507857142857,154.02142857142857,13410.0,33385.0,8.114285714285714,63.17142857142857,86.08571428571429,76.14285714285714,2.0,16.0,1997.5714285714287,45.29042857142857,35533.77142857143,28976.571428571428,6204.714285714285,149.4754651637143,18.557142857142857,1118578590.4285715,2.5464311386142855,8.342857142857143,7.007142857142857,-0.36957142857142855,13979.842857142858,5.8653188180404365,6.823742454728367,3.2505529039270353,1.3062726665714761,1.1531345388876686,18.0,1.0,0.7142857142857143,2.86952380952381,0.0005329674741460625,13122.48332158802,38554.29994135497,6.531904761904762
